Id,SalePrice
1461,122724.61
1462,135586.3
1463,164756.9
1464,170925.72
1465,237169.89
1466,168679.36
1467,139564.16
1468,166758.94
1469,178893.67
1470,125445.01
1471,187052.2
1472,122992.89
1473,121380.73
1474,168293.66
1475,165431.53
1476,374382.78
1477,271052.38
1478,356929.5
1479,280292.2
1480,397957.47
1481,304640.25
1482,238095.69
1483,144829.36
1484,181147.53
1485,176195.66
1486,206076.16
1487,306991.3
1488,270143.9
1489,185382.34
1490,173111.06
1491,201430.19
1492,121106.49
1493,168818.48
1494,296615.84
1495,299607.8
1496,202492.02
1497,200554.61
1498,171588.8
1499,171588.8
1500,134689.02
1501,174188.17
1502,170297.47
1503,274631.7
1504,240734.69
1505,202579.78
1506,168265.73
1507,171951.78
1508,169750.39
1509,165629.4
1510,135666.39
1511,135666.39
1512,165451.56
1513,167247.25
1514,158358.9
1515,169315.72
1516,168391.4
1517,133378.69
1518,163205.2
1519,201838.58
1520,132417.45
1521,133223.81
1522,166656.1
1523,124107.4
1524,124973.14
1525,122694.92
1526,123050.305
1527,123166.32
1528,122337.266
1529,135666.39
1530,158228.64
1531,157947.34
1532,122152.67
1533,137380.0
1534,124050.88
1535,160601.7
1536,130182.62
1537,123278.14
1538,234081.1
1539,256412.89
1540,158007.92
1541,164136.05
1542,157211.2
1543,215251.27
1544,120165.65
1545,121652.59
1546,125168.13
1547,159750.95
1548,155008.5
1549,122557.664
1550,163621.6
1551,131405.86
1552,163362.44
1553,167196.1
1554,123366.21
1555,158652.33
1556,120115.086
1557,155691.39
1558,121374.77
1559,156955.5
1560,163621.6
1561,162787.5
1562,122724.61
1563,122115.95
1564,138100.48
1565,162096.67
1566,197109.77
1567,122557.664
1568,172423.84
1569,159079.4
1570,125357.82
1571,158114.9
1572,132868.44
1573,202106.38
1574,137493.75
1575,199081.19
1576,187843.42
1577,184506.77
1578,166177.58
1579,126068.516
1580,196032.44
1581,128997.41
1582,125445.01
1583,318873.53
1584,225922.12
1585,127365.33
1586,119484.78
1587,121356.17
1588,133223.81
1589,122886.05
1590,132619.14
1591,123050.305
1592,134153.53
1593,125500.32
1594,156414.31
1595,157504.6
1596,218495.77
1597,165235.19
1598,197658.53
1599,238751.95
1600,237169.89
1601,119484.78
1602,121652.59
1603,120682.766
1604,256700.44
1605,269047.47
1606,140061.0
1607,169368.88
1608,197639.89
1609,185382.34
1610,162520.08
1611,137692.38
1612,165910.55
1613,138498.78
1614,123770.79
1615,121380.73
1616,121380.73
1617,121380.73
1618,122724.61
1619,124836.35
1620,164763.14
1621,126512.91
1622,156595.4
1623,258080.84
1624,175077.05
1625,123677.56
1626,165544.17
1627,168679.36
1628,296005.0
1629,194988.53
1630,296643.62
1631,237654.34
1632,253732.27
1633,176195.66
1634,172323.36
1635,170925.72
1636,139945.67
1637,164885.55
1638,221748.88
1639,168394.81
1640,224946.73
1641,168818.48
1642,210687.56
1643,246408.28
1644,240879.06
1645,163925.69
1646,138854.78
1647,180948.67
1648,135666.39
1649,130190.266
1650,124836.35
1651,124836.35
1652,122992.89
1653,122992.89
1654,167967.73
1655,178095.8
1656,166047.3
1657,167967.73
1658,170153.08
1659,165431.53
1660,129609.91
1661,384457.44
1662,372701.03
1663,385572.97
1664,310851.6
1665,356929.5
1666,282467.1
1667,310443.66
1668,356929.5
1669,352234.72
1670,358806.47
1671,209583.25
1672,393677.53
1673,298754.78
1674,270143.9
1675,145210.89
1676,144494.67
1677,186098.56
1678,392124.4
1679,325147.2
1680,330615.44
1681,312021.5
1682,281120.34
1683,185831.94
1684,198472.86
1685,174569.7
1686,184506.77
1687,176195.66
1688,201047.2
1689,201922.78
1690,199979.1
1691,176195.66
1692,291076.78
1693,176195.66
1694,168679.36
1695,190742.02
1696,234944.64
1697,190742.02
1698,310752.4
1699,316389.22
1700,225364.77
1701,269960.72
1702,274048.4
1703,270143.9
1704,277182.28
1705,248048.81
1706,390247.44
1707,199133.78
1708,186707.52
1709,349566.66
1710,249068.64
1711,266308.94
1712,253117.7
1713,209042.69
1714,203600.62
1715,201430.19
1716,180767.52
1717,174779.16
1718,134496.19
1719,209468.44
1720,269353.62
1721,175654.73
1722,133040.97
1723,136911.03
1724,207995.78
1725,225922.12
1726,174188.17
1727,144829.36
1728,200386.28
1729,150541.3
1730,168647.25
1731,125770.7
1732,124836.35
1733,122115.95
1734,130062.66
1735,123719.805
1736,122724.61
1737,309492.28
1738,206076.16
1739,234069.1
1740,174569.7
1741,142765.19
1742,174188.17
1743,197053.6
1744,262742.4
1745,203438.69
1746,260198.61
1747,220704.95
1748,171320.7
1749,138214.23
1750,133872.67
1751,220371.97
1752,122115.95
1753,163091.45
1754,218399.39
1755,140061.0
1756,126165.49
1757,122115.95
1758,137266.05
1759,164349.36
1760,138100.48
1761,138100.48
1762,163173.75
1763,169326.1
1764,122694.92
1765,169161.78
1766,166047.3
1767,171064.84
1768,133163.02
1769,178609.12
1770,128057.66
1771,133223.81
1772,149973.05
